"State","Year","Week","Predicted_Deaths"
"Arizona",2022,5,1356.7587277416
"Arizona",2022,6,1324.58383702822
"Arizona",2022,7,1293.0919465704
"Arizona",2022,8,1359.03803223239
"Arizona",2022,9,1353.14600284332
"Arizona",2022,10,1360.78482855711
"Arizona",2022,11,1346.51101735311
"Arizona",2022,12,1308.51043881291
"Arizona",2022,13,1322.31374766478
"Arizona",2022,14,1348.76165690728
"Arizona",2022,15,1371.35796936313
"Arizona",2022,16,1266.85119239593
"Arizona",2022,17,1268.10172707995
"Arizona",2022,18,1261.35672970319
"Arizona",2022,19,1274.93801119049
"Arizona",2022,20,1204.31941067047
"Arizona",2022,21,1201.74749824956
"Arizona",2022,22,1227.822516493
"Arizona",2022,23,1178.09679031642
"Arizona",2022,24,1248.52569898475
"Arizona",2022,25,1162.19208546935
"Arizona",2022,26,1218.70238004979
"Arizona",2022,27,1203.3934911467
"Arizona",2022,28,1223.14839879349
"Arizona",2022,29,1230.96926534274
"Arizona",2022,30,1170.76709389582
"Arizona",2022,31,1184.19902790873
"Arizona",2022,32,1167.49163147152
"Arizona",2022,33,1156.17848336223
"Arizona",2022,34,1170.14302800274
"Arizona",2022,35,1221.99673853775
"Arizona",2022,36,1231.18655277508
"Arizona",2022,37,1145.75713302392
"Arizona",2022,38,1174.0051274722
"Arizona",2022,39,1231.34055383437
"Arizona",2022,40,1168.42810841638
"Arizona",2022,41,1188.01222031045
"Arizona",2022,42,1227.13663224421
"Arizona",2022,43,1141.19587554546
"Arizona",2022,44,1191.02689637272
"Arizona",2022,45,1304.31849123619
"Arizona",2022,46,1263.3699776913
"Arizona",2022,47,1289.41372323909
"Arizona",2022,48,1234.11531011097
"Arizona",2022,49,1311.73536673019
"Arizona",2022,50,1277.09300165369
"Arizona",2022,51,1301.70711111224
"Arizona",2022,52,1308.10758484864
"Arizona",2023,1,1483.38178533459
"Arizona",2023,2,1498.31246165301
"Arizona",2023,3,1410.13593686704
"Arizona",2023,4,1402.15613979146
"Arizona",2023,5,1384.3109533231
"Arizona",2023,6,1353.57954002261
"Arizona",2023,7,1324.22323484849
"Arizona",2023,8,1396.42030459531
"Arizona",2023,9,1384.92874517938
"Arizona",2023,10,1391.51151461846
"Arizona",2023,11,1381.54065038689
"Arizona",2023,12,1339.15762504737
"Arizona",2023,13,1355.72155280754
"Arizona",2023,14,1380.69607207183
"Arizona",2023,15,1408.48606313635
"Arizona",2023,16,1298.99492332456
"Arizona",2023,17,1301.20407353594
"Arizona",2023,18,1293.22594706648
"Arizona",2023,19,1308.16785756879
"Arizona",2023,20,1240.02741323658
"Arizona",2023,21,1235.43646877228
"Arizona",2023,22,1264.35189944032
"Arizona",2023,23,1209.11798531947
"Arizona",2023,24,1280.15727810264
"Arizona",2023,25,1193.75065344832
"Arizona",2023,26,1251.51979180858
"Arizona",2023,27,1236.3543083798
"Arizona",2023,28,1259.20382615953
"Arizona",2023,29,1263.20962263894
"Arizona",2023,30,1201.49572308306
"Arizona",2023,31,1215.64727250044
"Arizona",2023,32,1201.09907271038
"Arizona",2023,33,1189.92979672565
"Arizona",2023,34,1201.15915707856
"Arizona",2023,35,1256.86359191466
"Arizona",2023,36,1267.45692539595
"Arizona",2023,37,1176.37729079685
"Arizona",2023,38,1206.46068112481
"Arizona",2023,39,1266.27930061517
"Arizona",2023,40,1204.01463900585
"Arizona",2023,41,1222.98694021669
"Arizona",2023,42,1260.56384266653
"Arizona",2023,43,1170.12452215433
"Arizona",2023,44,1226.10957108412
"Arizona",2023,45,1341.5604731106
"Arizona",2023,46,1298.52462622324
"Arizona",2023,47,1324.89226715324
"Arizona",2023,48,1264.91535052545
"Arizona",2023,49,1344.65872713281
"Arizona",2023,50,1310.19630409877
"Arizona",2023,51,1329.48411779418
"Arizona",2023,52,1341.31885227368
"Arkansas",2020,1,699.162682812319
"Arkansas",2020,2,675.916251191359
"Arkansas",2020,3,709.178097667729
"Arkansas",2020,4,694.128117376864
"Arkansas",2020,5,673.74525013352
"Arkansas",2020,6,678.91629507359
"Arkansas",2020,7,692.210852002332
"Arkansas",2020,8,706.111719161979
"Arkansas",2020,9,636.369310693835
"Arkansas",2020,10,679.352228408311
"Arkansas",2020,11,655.269319633803
"Arkansas",2020,12,636.053177160864
"Arkansas",2020,13,637.253098046898
"Arkansas",2020,14,622.433582044967
"Arkansas",2020,15,643.255775607909
"Arkansas",2020,16,590.730684913983
"Arkansas",2020,17,592.030477134928
"Arkansas",2020,18,616.789867914267
"Arkansas",2020,19,606.903147660402
"Arkansas",2020,20,602.607964101755
"Arkansas",2020,21,617.436919612709
"Arkansas",2020,22,596.770749405016
"Arkansas",2020,23,583.548011182685
"Arkansas",2020,24,629.694829631863
"Arkansas",2020,25,560.225788810908
"Arkansas",2020,26,577.97441978809
"Arkansas",2020,27,586.342829204673
"Arkansas",2020,28,593.979997303414
"Arkansas",2020,29,598.317428537192
"Arkansas",2020,30,547.683970157118
"Arkansas",2020,31,563.758002858323
"Arkansas",2020,32,585.751781602559
"Arkansas",2020,33,578.350595880183
"Arkansas",2020,34,585.570135926828
"Arkansas",2020,35,573.394794638625
"Arkansas",2020,36,562.701114733446
"Arkansas",2020,37,628.826492561008
"Arkansas",2020,38,604.870101033973
"Arkansas",2020,39,587.899757916332
"Arkansas",2020,40,572.687659367837
"Arkansas",2020,41,589.05292733779
"Arkansas",2020,42,604.235574334825
"Arkansas",2020,43,646.439090198022
"Arkansas",2020,44,615.731284229963
"Arkansas",2020,45,619.49129267502
"Arkansas",2020,46,666.199132825952
"Arkansas",2020,47,648.797405345947
"Arkansas",2020,48,661.126105730902
"Arkansas",2020,49,620.870460243684
"Arkansas",2020,50,671.060031203965
"Arkansas",2020,51,642.884386112275
"Arkansas",2020,52,698.79046631796
"Arkansas",2021,1,706.326957372213
"Arkansas",2021,2,650.922713260299
"Arkansas",2021,3,697.065378516158
"Arkansas",2021,4,683.966433327935
"Arkansas",2021,5,683.037578568132
"Arkansas",2021,6,683.308832356515
"Arkansas",2021,7,704.651057097095
"Arkansas",2021,8,725.344030075577
"Arkansas",2021,9,650.660137353359
"Arkansas",2021,10,693.651284387804
"Arkansas",2021,11,689.359625172642
